time;mutants;score;testcase_variant
59;54;70.37037;C
60;54;70.37037;C
73;54;70.37037;C
59;54;70.37037;C
56;54;70.37037;C
56;54;70.37037;C
57;54;70.37037;C
55;54;70.37037;C
56;54;70.37037;C
65;54;70.37037;C
58;54;70.37037;C
56;54;70.37037;C
57;54;70.37037;C
56;54;70.37037;C
58;54;70.37037;C
59;54;70.37037;C
60;54;70.37037;C
57;54;70.37037;C
58;54;70.37037;C
55;54;70.37037;C
52;37;75.675674;C (opt)
51;37;75.675674;C (opt)
52;37;75.675674;C (opt)
50;37;75.675674;C (opt)
49;37;75.675674;C (opt)
50;37;75.675674;C (opt)
50;37;75.675674;C (opt)
47;37;75.675674;C (opt)
50;37;75.675674;C (opt)
50;37;75.675674;C (opt)
51;37;75.675674;C (opt)
47;37;75.675674;C (opt)
52;37;75.675674;C (opt)
51;37;75.675674;C (opt)
53;37;75.675674;C (opt)
61;37;75.675674;C (opt)
55;37;75.675674;C (opt)
52;37;75.675674;C (opt)
51;37;75.675674;C (opt)
51;37;75.675674;C (opt)
448;66;69.69697;C++
467;66;69.69697;C++
423;66;69.69697;C++
476;66;69.69697;C++
456;66;69.69697;C++
479;66;69.69697;C++
449;66;69.69697;C++
436;66;69.69697;C++
466;66;69.69697;C++
435;66;69.69697;C++
443;66;69.69697;C++
422;66;69.69697;C++
469;66;69.69697;C++
458;66;69.69697;C++
473;66;69.69697;C++
445;66;69.69697;C++
445;66;69.69697;C++
478;66;69.69697;C++
461;66;69.69697;C++
433;66;69.69697;C++
400;62;69.354836;C++ (opt)
416;62;69.354836;C++ (opt)
408;62;69.354836;C++ (opt)
394;62;69.354836;C++ (opt)
393;62;69.354836;C++ (opt)
388;62;69.354836;C++ (opt)
425;62;69.354836;C++ (opt)
394;62;69.354836;C++ (opt)
457;62;69.354836;C++ (opt)
437;62;69.354836;C++ (opt)
451;62;69.354836;C++ (opt)
430;62;69.354836;C++ (opt)
407;62;69.354836;C++ (opt)
409;62;69.354836;C++ (opt)
400;62;69.354836;C++ (opt)
406;62;69.354836;C++ (opt)
412;62;69.354836;C++ (opt)
410;62;69.354836;C++ (opt)
396;62;69.354836;C++ (opt)
405;62;69.354836;C++ (opt)
4229;196;56.632652;Go
3894;196;56.632652;Go
4103;196;56.632652;Go
4090;196;56.632652;Go
3935;196;56.632652;Go
3897;196;56.632652;Go
4049;196;56.632652;Go
3749;196;56.632652;Go
3944;196;56.632652;Go
3840;196;56.632652;Go
4030;196;56.632652;Go
3961;196;56.632652;Go
3868;196;56.632652;Go
4114;196;56.632652;Go
3821;196;56.632652;Go
3719;196;56.632652;Go
3940;196;56.632652;Go
3926;196;56.632652;Go
3763;196;56.632652;Go
3800;196;56.632652;Go
2179;140;46.42857;Go (opt)
2111;140;46.42857;Go (opt)
2271;140;46.42857;Go (opt)
2181;140;46.42857;Go (opt)
2309;140;46.42857;Go (opt)
2236;140;46.42857;Go (opt)
2200;140;46.42857;Go (opt)
2263;140;46.42857;Go (opt)
2187;140;46.42857;Go (opt)
2351;140;46.42857;Go (opt)
2447;140;46.42857;Go (opt)
2276;140;46.42857;Go (opt)
2311;140;46.42857;Go (opt)
2382;140;46.42857;Go (opt)
2306;140;46.42857;Go (opt)
2182;140;46.42857;Go (opt)
2167;140;46.42857;Go (opt)
2141;140;46.42857;Go (opt)
2250;140;46.42857;Go (opt)
2263;140;46.42857;Go (opt)
300;181;12.707182;Rust
304;181;12.707182;Rust
316;181;12.707182;Rust
310;181;12.707182;Rust
311;181;12.707182;Rust
319;181;12.707182;Rust
321;181;12.707182;Rust
309;181;12.707182;Rust
318;181;12.707182;Rust
312;181;12.707182;Rust
306;181;12.707182;Rust
344;181;12.707182;Rust
338;181;12.707182;Rust
319;181;12.707182;Rust
320;181;12.707182;Rust
318;181;12.707182;Rust
342;181;12.707182;Rust
364;181;12.707182;Rust
352;181;12.707182;Rust
337;181;12.707182;Rust
202;77;68.83117;Rust (opt)
215;77;68.83117;Rust (opt)
206;77;68.83117;Rust (opt)
195;77;68.83117;Rust (opt)
198;77;68.83117;Rust (opt)
204;77;68.83117;Rust (opt)
192;77;68.83117;Rust (opt)
219;77;68.83117;Rust (opt)
199;77;68.83117;Rust (opt)
192;77;68.83117;Rust (opt)
193;77;68.83117;Rust (opt)
202;77;68.83117;Rust (opt)
199;77;68.83117;Rust (opt)
191;77;68.83117;Rust (opt)
203;77;68.83117;Rust (opt)
213;77;68.83117;Rust (opt)
206;77;68.83117;Rust (opt)
226;77;68.83117;Rust (opt)
197;77;68.83117;Rust (opt)
213;77;68.83117;Rust (opt)
