time;mutants;score;variant
7063;1728;36.11111;all
7098;1728;36.11111;all
7169;1728;36.11111;all
7056;1728;36.11111;all
7100;1728;36.11111;all
56915;1728;36.11111;no-meta
56965;1728;36.11111;no-meta
56941;1728;36.11111;no-meta
57089;1728;36.11111;no-meta
56941;1728;36.11111;no-meta
6577;1728;36.11111;no-coverage
6516;1728;36.11111;no-coverage
6561;1728;36.11111;no-coverage
6566;1728;36.11111;no-coverage
6477;1728;36.11111;no-coverage
65662;1728;36.11111;none
65297;1728;36.11111;none
65565;1728;36.11111;none
65644;1728;36.11111;none
65421;1728;36.11111;none
