time;mutants;score;variant
5787;2625;59.085712;all
5761;2625;59.085712;all
5754;2625;59.085712;all
5736;2625;59.085712;all
5718;2625;59.085712;all
170549;2625;59.085712;no-meta
171377;2625;59.085712;no-meta
170292;2625;59.085712;no-meta
170632;2625;59.085712;no-meta
170554;2625;59.085712;no-meta
2257;2625;59.085712;no-coverage
2269;2625;59.085712;no-coverage
2262;2625;59.085712;no-coverage
2266;2625;59.085712;no-coverage
2269;2625;59.085712;no-coverage
186396;2625;59.085712;none
185714;2625;59.085712;none
185470;2625;59.085712;none
186083;2625;59.085712;none
185993;2625;59.085712;none
