time;mutants;score;variant
3204;926;28.077753;all
3196;926;28.077753;all
3185;926;28.077753;all
3158;926;28.077753;all
3169;926;28.077753;all
25074;926;28.077753;no-meta
25025;926;28.077753;no-meta
25304;926;28.077753;no-meta
25025;926;28.077753;no-meta
25159;926;28.077753;no-meta
3159;926;28.077753;no-coverage
3192;926;28.077753;no-coverage
3164;926;28.077753;no-coverage
3118;926;28.077753;no-coverage
3133;926;28.077753;no-coverage
29136;926;28.077753;none
29094;926;28.077753;none
29112;926;28.077753;none
29135;926;28.077753;none
29052;926;28.077753;none
