time;mutants;score;variant
101205;13380;16.38266;all
101716;13380;16.38266;all
102045;13380;16.38266;all
100523;13380;16.38266;all
103737;13380;16.38266;all
604387;13380;16.718983;no-meta
636121;13380;16.718983;no-meta
660253;13380;16.718983;no-meta
650751;13380;16.718983;no-meta
660335;13380;16.718983;no-meta
220068;13380;16.38266;no-coverage
221294;13380;16.38266;no-coverage
221929;13380;16.38266;no-coverage
222392;13380;16.38266;no-coverage
224379;13380;16.38266;no-coverage
1149071;13380;16.718983;none
1162615;13380;16.718983;none
1164813;13380;16.718983;none
1164157;13380;16.718983;none
1146626;13380;16.718983;none
