time;mutants;score;variant
583;1141;63.540752;all
604;1141;63.540752;all
609;1141;63.540752;all
590;1141;63.540752;all
591;1141;63.540752;all
3920;1141;63.540752;no-meta
3929;1141;63.540752;no-meta
3902;1141;63.540752;no-meta
3907;1141;63.540752;no-meta
3938;1141;63.540752;no-meta
544;1141;63.540752;no-coverage
542;1141;63.540752;no-coverage
537;1141;63.540752;no-coverage
544;1141;63.540752;no-coverage
547;1141;63.540752;no-coverage
4638;1141;63.540752;none
4662;1141;63.540752;none
4706;1141;63.540752;none
4644;1141;63.540752;none
4635;1141;63.540752;none
