time;mutants;score;variant
181037;4400;57.409092;all
180226;4400;57.386364;all
179317;4400;57.409092;all
179485;4400;57.454544;all
179453;4400;57.454544;all
252234;4400;57.386364;no-meta
250808;4400;57.43182;no-meta
251069;4400;57.43182;no-meta
251729;4400;57.43182;no-meta
250596;4400;57.43182;no-meta
190812;4400;57.43182;no-coverage
199858;4400;57.477272;no-coverage
190622;4400;57.613636;no-coverage
190729;4400;57.386364;no-coverage
190580;4400;57.477272;no-coverage
273010;4400;57.409092;none
274305;4400;57.522728;none
273516;4400;57.454544;none
273347;4400;57.409092;none
273039;4400;57.409092;none
