time;mutants;score;variant
199;488;73.36066;all
194;488;73.36066;all
199;488;73.36066;all
211;488;73.36066;all
205;488;73.36066;all
1201;488;73.36066;no-meta
1192;488;73.36066;no-meta
1200;488;73.36066;no-meta
1205;488;73.36066;no-meta
1197;488;73.36066;no-meta
121;488;73.36066;no-coverage
121;488;73.36066;no-coverage
132;488;73.36066;no-coverage
120;488;73.36066;no-coverage
121;488;73.36066;no-coverage
1145;488;73.36066;none
1159;488;73.36066;none
1140;488;73.36066;none
1146;488;73.36066;none
1136;488;73.36066;none
