time;mutants;score;variant
4938;1147;35.832607;all
4883;1147;35.832607;all
4895;1147;35.832607;all
4864;1147;35.832607;all
4919;1147;35.832607;all
37541;1147;35.832607;no-meta
37532;1147;35.832607;no-meta
37617;1147;35.832607;no-meta
37531;1147;35.832607;no-meta
37819;1147;35.832607;no-meta
4110;1147;35.832607;no-coverage
4178;1147;35.832607;no-coverage
4249;1147;35.832607;no-coverage
4163;1147;35.832607;no-coverage
4119;1147;35.832607;no-coverage
40333;1147;35.832607;none
40611;1147;35.832607;none
40211;1147;35.832607;none
40289;1147;35.832607;none
40112;1147;35.832607;none
