time;mutants;score;variant
10888;1967;46.720894;all
10678;1967;46.720894;all
10789;1967;46.720894;all
10724;1967;46.720894;all
10718;1967;46.720894;all
62041;1967;46.720894;no-meta
62281;1967;46.720894;no-meta
61954;1967;46.720894;no-meta
62462;1967;46.720894;no-meta
62149;1967;46.720894;no-meta
9223;1967;46.720894;no-coverage
9347;1967;46.720894;no-coverage
9142;1967;46.720894;no-coverage
9317;1967;46.720894;no-coverage
9305;1967;46.720894;no-coverage
71674;1967;46.720894;none
71658;1967;46.720894;none
71654;1967;46.720894;none
71898;1967;46.720894;none
71735;1967;46.720894;none
