testcase;time;mutants;score;samples
offbrand_lib;14509;5066;45.992893;100
parson;200210;4400;57.43182;100
shoco;129;488;73.36066;100
binn;2381;2625;59.085712;100
librope;562;1141;63.540752;100
fsm;3288;926;28.077753;100
gaad;79768;13380;16.38266;100
Stringy;6746;1728;36.11111;100
trie;4301;1147;35.832607;100
ujson;9365;1967;46.720894;100
offbrand_lib;796;558;44.98208;10
offbrand_lib;929;568;47.71127;10
offbrand_lib;1005;572;45.804195;10
offbrand_lib;792;545;48.073395;10
offbrand_lib;806;555;44.684685;10
offbrand_lib;862;562;46.44128;10
offbrand_lib;754;525;44.95238;10
offbrand_lib;783;532;44.924812;10
offbrand_lib;805;553;44.665462;10
offbrand_lib;791;535;46.91589;10
offbrand_lib;785;538;47.583645;10
offbrand_lib;805;553;44.846294;10
offbrand_lib;823;561;44.02852;10
offbrand_lib;841;573;41.884815;10
offbrand_lib;762;535;46.91589;10
offbrand_lib;1741;1082;45.656193;20
offbrand_lib;1582;1041;47.166187;20
offbrand_lib;1632;1086;44.6593;20
offbrand_lib;1640;1039;46.10202;20
offbrand_lib;1667;1085;47.373272;20
offbrand_lib;1485;1010;46.633663;20
offbrand_lib;1663;1101;48.955494;20
offbrand_lib;1562;1059;45.609066;20
offbrand_lib;1594;1063;47.6952;20
offbrand_lib;1544;1045;47.272728;20
offbrand_lib;1699;1082;47.597042;20
offbrand_lib;1562;1049;45.471878;20
offbrand_lib;1681;1065;44.78873;20
offbrand_lib;1674;1024;49.414062;20
offbrand_lib;1647;1074;47.486034;20
offbrand_lib;2706;1538;46.22887;30
offbrand_lib;2479;1519;46.872944;30
offbrand_lib;2520;1539;48.018192;30
offbrand_lib;2737;1600;46.125;30
offbrand_lib;2702;1557;45.53629;30
offbrand_lib;2521;1541;45.165478;30
offbrand_lib;2590;1558;45.89217;30
offbrand_lib;2670;1583;47.56791;30
offbrand_lib;2531;1537;46.974625;30
offbrand_lib;2552;1554;45.752895;30
offbrand_lib;2528;1532;45.822453;30
offbrand_lib;2631;1563;45.9373;30
offbrand_lib;2559;1543;46.727154;30
offbrand_lib;2385;1483;46.52731;30
offbrand_lib;2563;1540;46.363636;30
offbrand_lib;3626;2004;45.608784;40
offbrand_lib;3689;1991;47.01155;40
offbrand_lib;3799;2054;45.277508;40
offbrand_lib;4055;2126;45.484478;40
offbrand_lib;3976;2011;46.49428;40
offbrand_lib;4206;2082;46.15754;40
offbrand_lib;3585;2030;46.009853;40
offbrand_lib;3762;2061;47.40417;40
offbrand_lib;3660;2056;45.81712;40
offbrand_lib;4092;2049;46.656906;40
offbrand_lib;3770;2090;46.45933;40
offbrand_lib;4174;2139;45.67555;40
offbrand_lib;4549;2073;46.55089;40
offbrand_lib;3825;2074;46.914177;40
offbrand_lib;4042;2073;46.55089;40
offbrand_lib;5144;2520;44.801586;50
offbrand_lib;5601;2580;46.976746;50
offbrand_lib;5181;2572;45.645412;50
offbrand_lib;5524;2584;44.89164;50
offbrand_lib;5391;2590;46.833977;50
offbrand_lib;5055;2546;45.36528;50
offbrand_lib;5987;2560;46.757812;50
offbrand_lib;5398;2598;46.497307;50
offbrand_lib;4779;2527;47.05184;50
offbrand_lib;4869;2518;45.27403;50
offbrand_lib;5329;2627;46.973736;50
offbrand_lib;6258;2533;45.203316;50
offbrand_lib;5691;2538;45.66588;50
offbrand_lib;5104;2504;45.766773;50
offbrand_lib;5076;2507;45.951336;50
parson;8481;526;58.174904;10
parson;7091;483;56.72878;10
parson;7173;480;57.5;10
parson;6580;452;56.63717;10
parson;6877;477;61.425575;10
parson;6869;450;61.333332;10
parson;7394;493;58.62069;10
parson;7048;485;57.938145;10
parson;7497;476;53.991596;10
parson;7868;509;58.742634;10
parson;6754;463;58.7473;10
parson;6647;482;59.336098;10
parson;6497;479;58.455116;10
parson;6668;466;59.012875;10
parson;6597;454;58.14978;10
parson;17210;872;57.798164;20
parson;17733;954;57.54717;20
parson;17363;937;56.029884;20
parson;18158;958;58.76827;20
parson;15252;892;55.717487;20
parson;15560;929;56.835308;20
parson;17656;941;59.829967;20
parson;16111;908;60.24229;20
parson;17004;940;56.595745;20
parson;17166;897;56.856186;20
parson;16696;920;58.695652;20
parson;19475;979;56.48621;20
parson;17455;928;57.435345;20
parson;15689;869;58.112774;20
parson;16111;902;57.760532;20
parson;29185;1377;58.315178;30
parson;31807;1369;58.729;30
parson;31327;1381;57.204926;30
parson;28241;1324;57.326283;30
parson;31192;1370;55.9854;30
parson;29137;1353;56.17147;30
parson;28148;1326;57.466064;30
parson;30976;1378;55.224964;30
parson;31000;1370;56.788322;30
parson;29742;1390;58.345325;30
parson;30089;1380;57.31884;30
parson;29390;1341;56.45041;30
parson;29374;1386;58.00866;30
parson;30928;1378;56.458637;30
parson;28112;1309;58.82353;30
parson;44025;1776;57.601353;40
parson;44359;1796;56.458797;40
parson;44228;1776;56.475224;40
parson;45887;1820;57.527473;40
parson;45547;1792;56.975445;40
parson;44908;1816;58.645374;40
parson;43049;1781;57.271194;40
parson;43216;1760;57.272728;40
parson;43491;1750;56.914288;40
parson;41518;1777;57.906586;40
parson;45175;1785;58.039215;40
parson;45832;1788;57.662193;40
parson;46590;1805;57.451523;40
parson;46156;1799;56.531406;40
parson;43046;1756;57.34624;40
parson;64337;2264;59.18728;50
parson;67878;2285;57.811817;50
parson;66556;2262;57.117596;50
parson;64770;2225;57.07865;50
parson;64235;2198;57.68881;50
parson;66330;2231;58.22501;50
parson;59545;2197;56.804733;50
parson;61800;2234;56.66965;50
parson;58863;2208;57.518116;50
parson;60707;2210;57.692307;50
parson;63512;2214;57.317074;50
parson;58741;2222;58.19082;50
parson;66348;2250;57.822224;50
parson;65779;2194;57.748405;50
parson;65655;2256;57.53546;50
shoco;56;36;75.0;10
shoco;57;43;65.11628;10
shoco;58;53;66.037735;10
shoco;67;51;64.70588;10
shoco;62;55;78.181816;10
shoco;61;47;72.34042;10
